top - 13:24:18 up  2:13,  1 user,  load average: 0.42, 0.39, 0.39
Tasks: 210 total,   1 running, 208 sleeping,   1 stopped,   0 zombie
%Cpu(s):  7.4 us, 18.5 sy,  0.0 ni, 70.4 id,  0.0 wa,  0.0 hi,  3.7 si,  0.0 st
MiB Mem :   2908.8 total,    159.4 free,   1331.9 used,   1417.5 buff/cache
MiB Swap:   1873.3 total,   1850.4 free,     22.9 used.   1329.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1698 anjp      20   0 4549308 388000 131496 S  37.5  13.0   3:41.33 gnome-shell
   8231 anjp      20   0 3876540 478808 215912 S  25.0  16.1   3:21.21 firefox
   2033 anjp      20   0  236108  94464  80188 S   6.2   3.2   0:28.61 Xwayland
  10782 anjp      20   0   13076   3960   3356 R   6.2   0.1   0:00.01 top
      1 root      20   0  101088  11728   8100 S   0.0   0.4   0:01.71 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.30 ksoftirqd/0
     13 root      20   0       0      0      0 I   0.0   0.0   0:02.96 rcu_sched
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/0
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.38 migration/1
     21 root      20   0       0      0      0 S   0.0   0.0   0:01.86 ksoftirqd/1
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmpfs
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungtaskd
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     30 root      20   0       0      0      0 S   0.0   0.0   0:02.19 kcompactd0
     31 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     32 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     89 root       0 -20       0      0      0 I   0.0   0.0   0:01.73 kworker/0:1H-kblockd
     91 root      20   0       0      0      0 S   0.0   0.0   0:01.45 kswapd0
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
     97 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh_1
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    105 root       0 -20       0      0      0 I   0.0   0.0   0:01.60 kworker/1:1H-kblockd
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u5:0
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    173 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.52 jbd2/sda3-8
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    240 root      19  -1   48368  15608  14008 S   0.0   0.5   0:00.79 systemd-journal
    274 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-msghandler
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
    287 root     -51   0       0      0      0 S   0.0   0.0   0:01.20 irq/18-vmwgfx
    288 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    289 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    290 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    291 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc3
    292 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc4
    293 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc5
    294 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc6
    295 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc7
    301 root      20   0   26720   5860   3332 S   0.0   0.2   0:00.26 systemd-udevd
    330 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VBoxWQueue
    492 systemd+  20   0   14824   6072   5312 S   0.0   0.2   0:07.81 systemd-oomd
    493 systemd+  20   0   25396  13356   9520 S   0.0   0.4   0:00.37 systemd-resolve
    581 systemd+  20   0   89376   6440   5612 S   0.0   0.2   0:00.11 systemd-timesyn
    614 root      20   0  240008   7944   7008 S   0.0   0.3   0:00.38 accounts-daemon
    615 root      20   0    2812   1120   1036 S   0.0   0.0   0:00.04 acpid
    619 avahi     20   0    7628   3216   2884 S   0.0   0.1   0:00.12 avahi-daemon
    620 root      20   0    9492   2872   2616 S   0.0   0.1   0:00.02 cron
    622 message+  20   0   11140   6596   3844 S   0.0   0.2   0:01.61 dbus-daemon
    623 root      20   0  334820  17752  14792 S   0.0   0.6   0:01.02 NetworkManager
    628 root      20   0   82696   3952   3608 S   0.0   0.1   0:00.21 irqbalance
    639 root      20   0   41104  19648  11216 S   0.0   0.7   0:00.28 networkd-dispat
    640 root      20   0  242940  10812   7180 S   0.0   0.4   0:01.75 polkitd
